acct_value,acct_name,acct_descp,acct_type,acct_sign,acct_doc,acct_summary,default_account,Nro Cta Superior
1.00.00.00,1.00.00.00 A C T I V O,A C T I V O,Asset,Natural,,Yes,,
1.01.00.00,1.01.00.00 ACTIVO CORRIENTE,ACTIVO CORRIENTE,Asset,Natural,,Yes,,1.00.00.00
1.01.01.00,1.01.01.00 DISPONIBILIDADES,DISPONIBILIDADES,Asset,Natural,,Yes,,1.01.00.00
1.01.01.01,1.01.01.01 CAJA EFECTIVO CENTRAL,CAJA EFECTIVO CENTRAL,Asset,Natural,,No,CB_ASSET_ACCT,1.01.01.00
1.01.01.02,1.01.01.02 CAJA COBRO GENERAL,CAJA COBRO GENERAL,Asset,Natural,,No,CB_RECEIPT_ACCT,1.01.01.00
1.01.01.03,1.01.01.03 CUENTA PUENTE DE COMPROBACION,CUENTA PUENTE DE COMPROBACION,,Natural,,No,SUSPENSEBALANCING_ACCT,1.01.01.00
1.01.01.04,1.01.01.04 BANCO CTA CTE $,BANCO CTA. CTE $,Asset,Natural,,No,B_ASSET_ACCT,1.01.01.00
1.01.01.05,1.01.01.05 CAJA GASTOS,CAJA GASTOS,Asset,Natural,,No,CB_EXPENSE_ACCT,1.01.01.00
1.01.01.06,1.01.01.06 DIFERENCIAS DE CAJA,DIFERENCIAS DE CAJA,Asset,Natural,,No,CB_DIFFERENCES_ACCT,1.01.01.00
1.01.01.09,1.01.01.09 COBROS BANCARIOS EN TRANSITO,COBROS BANCARIOS EN TRANSITO,Asset,Natural,,No,B_UNALLOCATEDCASH_ACCT,1.01.01.00
1.01.02.00,1.01.02.00 CREDITOS POR VENTAS,CREDITOS POR VENTAS,Asset,Natural,,Yes,,1.01.00.00
1.01.02.01,1.01.02.01 DEUDORES POR VENTAS,DEUDORES POR VENTAS,Asset,Natural,,No,C_RECEIVABLE_ACCT,1.01.02.00
1.01.02.06,1.01.02.06 CLIENTES EMPRESAS DEL GRUPO,CLIENTES EMPRESAS DEL GRUPO,Asset,Natural,,No,INTERCOMPANYDUEFROM_ACCT,1.01.02.00
1.01.03.00,1.01.03.00 CREDITOS FISCALES,CREDITOS FISCALES,Asset,Natural,,Yes,,1.01.00.00
1.01.03.01,1.01.03.01 IVA - CREDITO FISCAL,IVA - CREDITO FISCAL,Asset,Natural,,No,T_CREDIT_ACCT,1.01.03.00
1.01.08.00,1.01.08.00 BIENES DE CAMBIO,BIENES DE CAMBIO,Asset,Natural,,Yes,,1.01.00.00
1.01.08.01,1.01.08.01 MERCADERIA Y MATERIAS PRIMAS,MERCADERIA Y MATERIAS PRIMAS,Asset,Natural,,No,P_ASSET_ACCT,1.01.08.00
1.02.00.00,1.02.00.00 ACTIVO NO CORRIENTE,ACTIVO NO CORRIENTE,Asset,Natural,,Yes,,1.00.00.00
1.03.00.01,1.03.00.01 BALANCEO MONEDA EXTRANJERA,BALANCEO MONEDA EXTRANJERA,Asset,Natural,,No,CURRENCYBALANCING_ACCT,1.00.00.00
2.00.00.00,2.00.00.00 P A S I V O,P A S I V O,Liability,Natural,,Yes,,
2.01.00.00,2.01.00.00 PASIVO CORRIENTE,PASIVO CORRIENTE,Liability,Natural,,Yes,,2.00.00.00
2.01.01.00,2.01.01.00 DEUDAS COMERCIALES,DEUDAS COMERCIALES,Liability,Natural,,Yes,,2.01.00.00
2.01.01.01,2.01.01.01 PROVEEDORES - NACIONALES,PROVEEDORES - NACIONALES,Liability,Natural,,No,V_LIABILITY_ACCT,2.01.01.00
2.01.01.03,2.01.01.03 PROVEEDORES EN GESTION DE PAGOS,PROVEEDORES EN GESTION DE PAGOS,Liability,Natural,,No,B_PAYMENTSELECT_ACCT,2.01.01.00
2.01.01.04,2.01.01.04 PROVEEDORES EMPRESAS DEL GRUPO,PROVEEDORES EMPRESAS DEL GRUPO,Liability,Natural,,No,INTERCOMPANYDUETO_ACCT,2.01.01.00
2.01.01.06,2.01.01.06 PAGOS BANCARIOS EN TRANSITO,PAGOS BANCARIOS EN TRANSITO,Asset,Natural,,No,B_INTRANSIT_ACCT,2.01.01.00
2.01.01.07,2.01.01.07 PAGOS EN EFECTIVO EN TRANSITO,PAGOS EN EFECTIVO EN TRANSITO,Asset,Natural,,No,CB_CASHTRANSFER_ACCT,2.01.01.00
2.01.03.00,2.01.03.00 DEUDAS FISCALES,DEUDAS FISCALES,Liability,Natural,,Yes,,2.01.00.00
2.01.03.04,2.01.03.04 IVA - DEBITO FISCAL,IVA - DEBITO FISCAL,Liability,Natural,,No,T_DUE_ACCT,2.01.03.00
2.01.05.06,2.01.05.06 DEUDAS A CORTO PLAZO,DEUDAS A CORTO PLAZO,Liability,Natural,,No,NOTINVOICEDRECEIPTS_ACCT,2.01.00.00
3.00.00.00,3.00.00.00 PATRIMONIO NETO,PATRIMONIO NETO,Owner's Equity,Natural,,Yes,,
3.01.00.00,3.01.00.00 CAPITAL SOCIAL,CAPITAL SOCIAL,Owner's Equity,Natural,,Yes,,3.00.00.00
3.02.00.00,3.02.00.00 RESERVAS,RESERVAS,Owner's Equity,Natural,,Yes,,3.00.00.00
3.03.00.00,3.03.00.00 RESULTADOS,RESULTADOS,Owner's Equity,Natural,,Yes,,3.00.00.00
4.00.00.00,4.00.00.00 INGRESOS,INGRESOS,Revenue,Natural,,Yes,,
4.01.00.00,4.01.00.00 VENTAS,VENTAS,Revenue,Natural,,Yes,,4.00.00.00
4.01.01.00,4.01.01.00 VENTAS GRAVADAS,VENTAS GRAVADAS,Revenue,Natural,,No,P_REVENUE_ACCT,4.01.00.00
4.03.00.00,4.03.00.00 OTROS INGRESOS,OTROS INGRESOS,Revenue,Natural,,Yes,,4.00.00.00
4.03.05.00,4.03.05.00 INTERESES GANANDOS,INTERESES GANANDOS,Revenue,Natural,,No,B_INTERESTREV_ACCT,4.03.00.00
4.03.08.00,4.03.08.00 DIFERENCIAS POSITIVAS DE CAMBIO,DIFERENCIAS POSITIVAS DE CAMBIO,Revenue,Natural,,No,REALIZEDGAIN_ACCT,4.03.00.00
4.03.09.00,4.03.09.00 BENEFICIOS EN VALORES NEGOCIABLES,BENEFICIOS EN VALORES NEGOCIABLES,Revenue,Natural,,No,PPVOFFSET_ACCT,4.03.00.00
4.03.10.00,4.03.10.00 OTROS INGRESOS FINANCIEROS,OTROS INGRESOS FINANCIEROS,Revenue,Natural,,No,CH_REVENUE_ACCT,4.03.00.00
5.00.00.00,5.00.00.00 EGRESOS,EGRESOS,Expense,Natural,,Yes,,
5.01.00.00,5.01.00.00 COMPRAS,COMPRAS,Expense,Natural,,Yes,,5.00.00.00
5.01.01.00,5.01.01.00 COMPRAS PRODUCTOS DE REVENTA,COMPRAS PRODUCTOS DE REVENTA,Expense,Natural,,Yes,,5.01.00.00
5.01.01.01,5.01.01.01 COMPRA DE MERCADERIA,COMPRA DE MERCADERIA,Expense,Natural,,No,P_EXPENSE_ACCT,5.01.01.00
5.01.04.00,5.01.04.00 COSTO DE VENTA,COSTO DE VENTA,Expense,Natural,,Yes,,5.01.00.00
